K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,K_SEQ,STABR,PUB_FIPS,YR
WA0069,WA0069-005,CHEHALIS TIMBERLAND LIBRARY,76 NE PARK STREET,CHEHALIS,98532,0419,2067483301,LEWIS,BR,NO,E,0,005,WA,53,93
WA0069,WA0069-006,ELMA PUBLIC LIBRARY,"SECOND & MAIN, PO BOX Q",ELMA,98541,0547,2064823737,GRAYS HARBOR,BR,NO,D,0,006,WA,53,93
WA0069,WA0069-007,HOODSPORT TIMBERLAND LIBRARY,"N. 64 LAKE CUSHMAN ROAD, SUITE #107",HOODSPORT,98548,0847,2068779339,MASON,BR,NO,C,0,007,WA,53,93
WA0069,WA0069-008,HOQUIAM TIMBERLAND LIBRARY,621 K STREET,HOQUIAM,98550,  -1,2065321710,GRAYS HARBOR,BR,NO,E,0,008,WA,53,93
WA0069,WA0069-009,ILWACO TIMBERLAND LIBRARY,PO BOX 520,ILWACO,98624,0520,2066423908,PACIFIC,BR,NO,B,0,009,WA,53,93
WA0069,WA0069-010,LACEY TIMBERLAND LIBRARY,500 COLLEGE STREET S.E.,LACEY,98503,1240,2064913860,THURSTON,BR,NC,G,0,010,WA,53,93
WA0069,WA0069-011,MCCLEARY TIMBERLAND LIBRARY,100 3RD STREET,MCCLEARY,98557,0660,2064953368,GRAYS HARBOR,BR,NO,C,0,011,WA,53,93
WA0069,WA0069-012,W.H. ABEL MEMORIAL LIBRARY,125 MAIN STREET S.,MONTESANO,98563,3794,2062494211,GRAYS HARBOR,BR,NO,D,0,012,WA,53,93
WA0069,WA0069-013,TIMBERLAND MT. VIEW LIBRARY,PO BOX 340,RANDLE,98370,  -1,2064972665,LEWIS,BR,NO,C,0,013,WA,53,93
WA0069,WA0069-014,TIMBERLAND NASELLE LIBRARY,PO BOX 190,NASELLE,98638,0190,2064843877,PACIFIC,BR,NO,B,0,014,WA,53,93
WA0069,WA0069-015,TIMBERLAND NORTH MASON LIBRARY,PO BOX 1239,BELFAIR,98528,1239,2062753232,MASON,BR,NO,D,0,015,WA,53,93
WA0069,WA0069-016,OAKVILLE TIMBERLAND LIBRARY,PO BOX G,OAKVILLE,98568,0129,2062735305,GRAYS HARBOR,BR,NO,B,0,016,WA,53,93
WA0069,WA0069-017,TIMBERLAND OCEAN PARK LIBRARY,PO BOX 310,OCEAN PARK,98640,0310,2066654184,PACIFIC,BR,NO,C,0,017,WA,53,93
WA0069,WA0069-018,OLYMPIA TIMBERLAND LIBRARY,313 8TH AVENUE S.E.,OLYMPIA,98501,1307,2063520595,THURSTON,BR,CC,G,0,018,WA,53,93
WA0069,WA0069-019,TIMBERLAND PACKWOOD LIBRARY,PO BOX 589,PACKWOOD,98361,0589,2064945111,LEWIS,BR,NO,B,0,019,WA,53,93
WA0069,WA0069-020,RAYMOND PUBLIC LIBRARY,507 DURYEA,RAYMOND,98577,1898,2069422408,PACIFIC,BR,NO,D,0,020,WA,53,93
WA0069,WA0069-021,TIMBERLAND SALKUM LIBRARY,PO BOX 120,SALKUM,98582,  -1,2069852148,LEWIS,BR,NO,D,0,021,WA,53,93
WA0069,WA0069-022,WILLIAM G. REED PUBLIC LIBRARY,7TH & ALDER,SHELTON,98584,  -1,2064263512,MASON,BR,NO,D,0,022,WA,53,93
WA0069,WA0069-023,SOUTH BEND PUBLIC LIBRARY,P.O. BOX 368,SOUTH BEND,98586,0368,2068755532,PACIFIC,BR,NO,D,0,023,WA,53,93
WA0069,WA0069-024,TENINO TIMBERLAND LIBRARY,PO BOX R,TENINO,98589,0510,2062642369,THURSTON,BR,NC,D,0,024,WA,53,93
WA0069,WA0069-025,TUMWATER TIMBERLAND LIBRARY,5131 CAPITOL BOULEVARD,TUMWATER,98501,4494,2069437790,THURSTON,BR,NC,E,0,025,WA,53,93
WA0069,WA0069-026,WESTPORT TIMBERLAND LIBRARY,PO BOX 1408,WESTPORT,98598,1408,2062680521,GRAYS HARBOR,BR,NO,C,0,026,WA,53,93
WA0069,WA0069-027,WINLOCK PUBLIC LIBRARY,PO BOX 428,WINLOCK,98596,  -1,2067853461,WINLOCK,BR,NO,D,0,027,WA,53,93
WA0069,YA0069-028,YELM TIMBERLAND LIBRARY,PO BOX V,YELM,98597,0490,2064583374,THURSTON,BR,NC,E,0,028,WA,53,93
WA0070,WA0070-002,YAKIMA VALLEY REGIONAL LIBRARY,102 NORTH THIRD STREET,YAKIMA,98901,  -1,5094528541,YAKIMA,CE,CC,G,0,002,WA,53,93
WA0070,WA0070-003,APPLE VALLEY LIBRARY,                                 -1,YAKIMA,98901,  -1,        -1,YAKIMA,BR,NC,A,0,003,WA,53,93
WA0070,WA0070-004,BUENA PUBLIC LIBRARY,                                 -1,BUENA,98921,  -1,        -1,YAKIMA,BR,NC,A,0,004,WA,53,93
WA0070,WA0070-005,GLEED PUBLIC LIBRARY,                                 -1,GLEED,98904,  -1,        -1,YAKIMA,BR,NO,B,0,005,WA,53,93
WA0070,WA0070-006,GRANGER PUBLIC LIBRARY,                                 -1,GRANGER,98932,  -1,        -1,YAKIMA,BR,NC,C,0,006,WA,53,93
WA0070,WA0070-007,HARRAH PUBLIC LIBRARY,                                 -1,HARRAH,98933,  -1,        -1,YAKIMA,BR,NC,A,0,007,WA,53,93
WA0070,WA0070-008,MABTON PUBLIC LIBRARY,                                 -1,MABTON,98953,  -1,        -1,YAKIMA,BR,NC,C,0,008,WA,53,93
WA0070,WA0070-009,MOXEE PUBLIC LIBRARY,                                 -1,MOXEE,98936,  -1,        -1,YAKIMA,BR,NC,C,0,009,WA,53,93
WA0070,WA0070-010,NACHES PUBLIC LIBRARY,                                 -1,NACHES,98937,  -1,        -1,YAKIMA,BR,NC,C,0,010,WA,53,93
WA0070,WA0070-011,NILE PUBLIC LIBRARY,                                 -1,NACHES,98937,  -1,        -1,YAKIMA,BR,NC,A,0,011,WA,53,93
WA0070,WA0070-012,SELAH PUBLIC LIBRARY,                                 -1,SELAH,98942,  -1,        -1,YAKIMA,BR,NC,D,0,012,WA,53,93
WA0070,WA0070-013,SUMMITVIEW PUBLIC LIBRARY,                                 -1,YAKIMA,98901,  -1,        -1,YAKIMA,BR,NC,F,0,013,WA,53,93
