POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32,IMP33,IMP34,IMP35
1153871,269,7,1,108,246.07,298.9,544.97,15274116,336568,15000,6549906,22175590,11683857,1439865,13123722,3205967,4471910,20801600,6995762,5475366,76556,74251,11953,335482,5026060,790325,8049586,34089,44990,3034595,188244,57587,311277,1341,1033572,1243316,01/97,12/97,ME,23,98,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
9303190,382,270,18,1113.81,1591.63,2457.15,4048.78,188741397,16782832,1369114,16442068,223335411,100875678,28502645,129378323,30369626,45749890,205497839,31256002,26046681,912075,549157,69033,1314597,36097674,8304796,50861433,570514,595706,18030156,1199287,2513868,5603655,19588,9281920,9295297,11/95,09/97,MI,26,98,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0
5220697,121,241,19,449.69,730.17,1567.73,2297.9,107893565,6626685,1437818,8635439,124593507,66811377,14670684,81482061,17110042,22925310,121517413,13862781,13543453,571902,304926,41824,704608,22218005,5715784,44580221,327941,321687,18321986,803998,328580,4354353,9073,4682748,4682748,01/97,12/97,MN,27,98,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
4723125,150,204,48,345.3,896.19,1898.51,2794.7,107074233,2055998,918297,12055056,122103584,51312944,10722370,62035314,21094013,19044143,102173470,8824022,19517789,660595,299572,42870,830347,20996520,4474482,39572537,100365,108786,14472828,717534,1408064,1549289,23989,4720425,5358692,01/97,12/97,MO,29,98,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
58838,1,2,1,2,3,14,17,0,386110,87465,33800,507375,224638,56990,281628,80950,144797,507375,30000,35289,251,2756,200,4647,164565,2309,105485,2131,1800,52743,7979,1300,70995,46,58838,58846,10/96,09/97,MP,69,98,09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0
2717742,47,195,2,130,394,706,1100,21090130,4935596,434953,2117119,28577798,14027878,3642827,17670705,3968222,4928037,26566964,3898808,5264685,112279,109615,12026,452001,6795185,1153331,8890538,12652,25732,2496885,337721,248251,632071,4897,2697243,2697243,10/96,09/97,MS,28,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
854243,79,27,3,32.5,160.96,118.38,279.34,11885326,341235,337439,1132331,13696331,5796352,1134006,6930358,1472792,3063547,11466697,881468,2525822,40140,35969,5707,165070,3053103,538896,5045703,26211,37736,1698015,120034,68302,294332,907,854233,854233,07/96,06/97,MT,30,98,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1
7323085,63,301,47,540.52,573.91,2041.78,2615.69,91941626,13900478,2384852,6937816,115164772,56904817,12286916,69191733,20419588,19471568,109082889,4306689,14437985,357797,256367,34403,960186,26462527,6579285,42166700,80135,66579,15190412,1770279,1178900,2101332,8606,7323085,7323085,07/96,06/97,NC,37,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
561926,80,8,13,22.33,100.27,91.58,191.85,5853500,536918,69598,1010527,7470543,3621834,511897,4133731,1216952,1783719,7134402,324182,2092354,51751,27521,4124,128136,2228306,384971,3944059,40462,36935,1643911,291122,50474,247598,5531,545425,638800,01/97,12/97,ND,38,98,04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
1398298,230,15,10,99.23,469.86,216.05,685.91,28029905,388260,229037,1616568,30263770,14528116,2929132,17457248,5947510,6509173,29913931,5305515,5160867,143597,109514,15136,369520,6950098,939478,11156491,20851,25046,4857898,308796,364394,898043,6575,1397018,1580976,01/96,06/97,NE,31,98,04, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
