POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31
1135669,72,20,4,103.12,188.36,354.86,543.22,18806729,437382,238104,879081,20361296,9663108,3151255,12814363,3508341,4409963,20732667,4080721,3909895,69966,28055,6291,203814,4650019,894088,7381881,15308,23421,2673479,191041,-1,-1,-1,1135669,1515069,7 /94,6 /95,NM,35,96,06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,, 1, 1, 1, 1, 0, 1, 1
1582280,27,51,3,100.2,156.29,430.93,587.22,26772567,33223,549735,956078,28311603,14803348,3420155,18223503,6567390,2590933,27381826,17298146,3295951,120125,47866,7522,103987,4563183,1180183,7591782,11451,15010,2335694,638279,15650,0,41,1582280,1582280,07/94,06/95,NV,32,96,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 1, 0, 0, 0, 1, 1
17842570,741,326,11,3268.98,3630.15,8502.88,12133.03,485484340,42441074,3764420,110734823,642424657,333879367,77961596,411840963,81961466,120391357,614193786,78091436,72346635,3534277,1016528,265419,2113196,87449499,30893765,121114159,1078368,1302630,38443875,3149900,3261454,5017111,56774,16617501,17990764,03/94,12/95,NY,36,96,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
11150506,245,439,61,1691.98,2456.93,6066.52,8523.42,90619137,319561308,2007375,33802529,445990349,190885850,45992457,236878307,73348409,76504878,386731594,68689513,41974417,2344044,1248060,85984,1780781,53633891,16945427,133384332,438800,530266,44020343,2549450,3212180,7009741,23410,11150506,11150506,01/95,12/95,OH,39,96,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1,, 1, 1, 0, 1, 1, 1, 1
2602910,112,80,11,167.5,416.5,515.2,931.7,33353400,1997268,357098,3196361,38904127,19301963,4350591,23652554,4353531,6533319,34539404,2230231,5785640,75575,67425,18033,548028,10493251,1825551,16343174,39356,50731,6273424,486860,-1,-1,-1,2565467,3205234,07/94,06/95,OK,40,96,06, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 2, 1, 1, 1, 1, 1, 1
2912955,125,76,11,271.49,394.31,888.39,1282.7,63970920,330422,358402,7642330,72302074,32901225,10894488,43795713,8939287,13522725,66257725,5010545,7130238,247797,135597,21914,350159,13048570,2141536,28123210,445317,478870,8293012,539803,320666,-1,2579,2912955,3082000,07/94,06/95,OR,41,96,08, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
11880185,455,185,31,962.72,1420.48,2645.76,4067.99,111180636,29000612,1460533,33292734,174934515,86077241,23931978,110009219,22101548,37643401,169754168,8396982,25053287,1357473,326047,51185,1305137,35534736,8315451,53542026,323016,291174,20700272,1801144,1035323,4714018,4791,11623714,11882610,01/94,06/95,PA,42,96,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 1, 1, 1, 1
1424962,51,23,2,169.2,204.81,385.48,590.16,18727071,1466313,201740,3486894,23882018,14568896,2166141,16735037,2726862,4222550,23684449,782031,4227663,77383,57393,8252,162708,5315042,900308,6605270,188028,192372,2141585,156682,-1,-1,-1,1003464,1003464,07/94,06/95,RI,44,96,01, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
3691446,40,140,35,291.88,442.63,748.35,1190.98,41859846,3695518,768770,2675771,48999905,22780426,5771976,28552402,9639694,8884165,47076261,2007483,6447813,142749,86516,18591,411682,10249235,3961792,15609076,9418,41859,5694712,465415,508715,1179679,1009,3663984,3663984,07/94,06/95,SC,45,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 0, 0, 1, 1
538256,112,22,10,31,110.35,158.77,269.12,10213866,0,10629,1407106,11631601,5322163,1042712,6364875,1597966,1699225,9662066,6156517,2431422,46461,27550,5635,177371,2400907,490549,4620011,20213,36659,1796064,121785,0,0,194,530533,696004,01/95,12/95,SD,46,96,04, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
8066009,140,144,16,258.16,483.24,1086.12,1569.36,43905872,6038500,2026909,5049160,57020441,26366276,6012593,32378869,7129604,11657032,51165505,2009234,7930891,214969,159812,18164,569594,13123616,5098861,20362843,45004,56677,6210424,525526,-1,-1,-1,5025261,5025261,07/94,06/95,TN,47,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 0, 0, 1, 1
16281402,499,254,20,1240.67,1817.88,3397.8,5315.18,188117786,77179,2033857,8572977,198801799,107741310,26254922,133996232,30257410,32146285,196399927,15238608,32205636,917161,446658,73395,1523113,47911590,16384672,70112398,191357,244987,25175216,2842728,-1,-1,-1,16281402,17682538,01/94,12/95,TX,48,96,06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
1907975,49,47,27,131.28,244.64,540.3,784.94,32175434,991663,543574,2366740,36077411,17687725,5361986,23049711,6302701,6504405,35856817,6176089,4968619,223438,85742,11058,232490,8696036,2105193,17152498,17070,23030,6113268,292385,61177,522212,3686,1907975,1907975,07/94,12/95,UT,49,96,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1,, 1, 1, 1, 1, 0, 1, 1
6410157,82,226,38,668.23,806.54,2176.99,2983.53,117848401,10756578,749404,8445452,137799835,71032026,15902694,86934720,22761665,24476190,134172575,19864281,16247938,526669,218265,45958,813553,26747925,6772430,46957709,58823,77796,16841755,921235,-1,-1,-1,6387372,6461327,07/94,06/95,VA,51,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1,, 1, 1, 0, 0, 0, 1, 2
598020,200,4,0,36.66,129.44,113.15,242.59,6484626,12772,0,2961579,9458977,4717356,847573,5564929,1419444,1882838,8867211,820339,2625882,49726,31529,7415,221466,2337708,352286,3695767,14130,53648,1549810,127321,16680,7204,237,526000,576000,01/94,09/95,VT,50,96,01, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
5249905,61,248,22,642.26,681.7,2123.62,2805.32,152163288,1542018,872983,6848756,161427045,80331130,21073269,101404399,20759526,27195907,149359832,17051957,14957364,752929,374725,43594,628265,16525387,5132673,52248074,126461,130070,16179457,38546,1261400,2666778,5446,5249905,5429900,01/95,12/95,WA,53,96,08, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
5101581,375,76,13,555.26,1002.31,1638.11,2640.42,107754575,4682788,702242,5943093,119082698,61400941,19017626,80418567,17117444,18973282,116509293,14062050,16864374,551082,353111,53923,919442,27190724,6078253,45484926,825377,954674,17816660,1088525,697468,1848589,4080,5101581,5101581,01/95,12/95,WI,55,96,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,, 1, 1, 1, 1, 1, 1, 1
1796599,97,77,8,67.33,239.56,344.18,568.5,11658645,5964279,227731,1685717,19536372,9229915,2343662,11573577,2996909,4301929,18872415,922263,4744457,127541,59570,8261,352932,6533748,1525524,8499940,30029,38345,2681702,243973,68917,205420,1643,1793477,1793477,07/94,06/95,WV,54,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 0, 0, 0, 0, 1, 0
474970,23,51,3,30.42,175.72,132.97,308.69,10456148,44043,48929,1299102,11848222,5858883,1588561,7447444,1569131,1848496,10865071,806856,2343701,64270,33864,10479,114615,2329749,432378,3765489,10893,13360,1267726,161203,67563,316376,39903,474970,474970,07/94,06/95,WY,56,96,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 0, 0, 0, 0, 0, 0
