POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
2605239,112,90,10,176.8,421.37,539.43,960.8,35793832,1481327,293264,2275111,39843534,20055929,4771659,24827588,5861702,6848278,37537568,2070655,5644299,79167,78812,16207,558851,11090973,1893042,16088969,31062,40738,6129169,472414,247498,803923,1084,2565467,3205234,07/95,06/96,OK,40,97,06, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
2963827,125,73,11,285.39,411.27,925.26,1336.53,69718540,481197,707861,6114433,77022031,35753430,10843601,46597031,9973489,15315915,71886435,10968000,7212988,260231,149714,22958,352971,11544662,2220473,29495049,581470,615750,8882866,417856,395613,1702509,2722,2963827,3132000,07/95,06/96,OR,41,97,08, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
11743920,460,190,32,982.65,1438.09,2615.6,4053.69,122053184,35310264,3165410,41432235,201961093,92755237,24528117,117283354,24897405,46656725,188837484,19700108,25317739,1371377,353577,51700,1323450,37510403,7612337,54541744,314845,304625,20208480,1749903,858514,8190697,3784,11624522,11888945,01/95,06/96,PA,42,97,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0
1264234,50,23,2,172.89,210.52,384.21,594.73,19537176,1428336,202012,4416125,25583649,15357522,2205600,17563122,3012242,4364765,24940129,1355693,4275788,79960,63521,8255,167112,5595696,862120,6782617,299903,296589,2347750,172031,-1,-1,-1,1003464,1003464,07/95,06/96,RI,44,97,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
3701334,40,143,35,321.46,483.37,754.23,1237.6,44604151,4631279,577414,3037718,52850562,24136170,6205138,30341308,9839631,9718063,49899002,7732813,6817395,159326,102364,18569,423405,10524559,3897733,16122660,11194,37614,5795513,527276,650651,1158270,5671,3673287,3673287,07/95,06/96,SC,45,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0
537057,112,22,10,33.43,114.2,168.63,282.83,10369174,0,91498,765809,11226481,5688374,1149466,6837840,1700283,1720824,10258947,641548,2513260,48089,33143,5523,182517,2755904,646677,4765322,22258,45808,1822279,141277,26735,313922,383,535919,696004,01/96,12/96,SD,46,97,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
8273218,141,144,16,283.35,534.15,976.1,1510.25,46378912,6142700,2031902,5958236,60511750,30238491,5868371,36106862,8065290,14236737,58408889,4865678,7999202,214995,181067,18692,581859,13659948,4281705,20057354,45748,54488,6464768,560142,219190,422468,2997,5175406,5175406,07/95,06/96,TN,47,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0
16994814,500,262,20,1296.12,1781.12,3662.76,5443.88,204042070,52374,1611142,9937397,215642983,115462297,27880782,143343079,33050791,37734110,214127980,36507216,34118164,988349,530983,76233,1559162,47053405,15446778,72151622,196096,232855,26844533,2472888,1819404,4625213,58267,16994814,18373280,01/95,12/96,TX,48,97,06, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
1907975,51,49,27,132.27,248.96,551.27,800.23,35287803,996949,373957,2440236,39098945,18981901,5781780,24763681,7302379,6823194,38889254,2977174,5064941,255120,99135,10934,238704,8636957,2356164,17737011,16209,22565,7135678,248312,119183,568327,2874,1907975,1907975,07/95,12/96,UT,49,97,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0
6563925,83,230,38,688.45,829.39,2166.96,2996.35,119762561,13888564,756210,9142297,143549632,75683702,16088714,91772416,21296598,26063087,139132101,10335273,16672403,574117,252473,42483,832900,29393363,6977738,48529328,62116,76412,17483440,1092313,-1,-1,-1,6527319,6539446,07/95,06/96,VA,51,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0
601694,197,4,0,38.52,133.06,113.48,246.54,6952773,7809,12186,3047092,10019860,5007805,863693,5871498,1559061,2025066,9455625,1352984,2691670,50848,28734,7660,227718,2637667,373917,3727809,17171,54297,1565996,119654,48369,30970,1882,531000,576000,01/95,07/96,VT,50,97,01, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
5316278,61,251,19,661.97,734.99,2132.37,2867.36,162580035,2029635,875832,7140960,172626462,85982829,21710981,107693810,23111593,29794312,160599715,11609032,15655510,780979,455886,44884,634403,17228814,5475664,53229016,137705,136977,15397685,611478,1380640,2352074,11035,5316278,5516800,01/96,12/96,WA,53,97,08, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
5142999,375,76,12,566.82,1028.14,1652.79,2680.93,113319721,4812836,765220,6768284,125666061,64271643,20288353,84559996,18314260,20677962,123552218,15315914,17007833,613373,420608,53758,940206,27771929,6009209,46421423,1320069,1388453,18092505,1083544,859291,2459137,9109,5142999,5142999,01/96,12/96,WI,55,97,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
1796599,97,77,9,80.08,262.12,324.27,586.39,12074122,6427831,235801,1749995,20487749,9699112,2411064,12110176,3276724,4388489,19775389,1086588,4862009,114958,75725,7726,358618,6524348,1687244,8315186,34170,39532,2780634,233751,76909,211110,2691,1793477,1793477,07/95,06/96,WV,54,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0
482680,23,51,4,30.92,136.14,176.05,312.19,10438776,336595,61536,894842,11731749,6026717,1670273,7696990,1439682,1971326,11107998,433774,2294403,68090,36520,12456,115517,2529031,556451,3685801,15196,20107,1251340,137866,65655,193324,1977,482680,482680,07/95,06/96,WY,56,97,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
