POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
4882100,18,167,19,567.46,971.47,1518.25,2489.72,85046758,15059514,5934234,10317119,116357625,66779493,11609986,78389479,17284410,18007146,113681035,4773064,13275881,467390,147259,34399,442149,18515613,5426755,47537109,87879,133150,15364544,705315,4882100,4882100,07/92,06/93,MD,24,94,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 0, 0, 0, 0, 0, 0, 0
1066641,225,5,1,82.13,212.61,270.65,484.89,11779434,386628,15000,5238002,17419064,9360692,1480432,10841124,2577642,3118416,16537182,1129678,4854703,37680,34950,10698,292924,4728479,659906,7502186,33719,40971,2981942,165225,988761,1066641,01/92,12/93,ME,23,94,01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0,, 1, 1, 1, 0, 0, 1, 2, 0
9331622,377,278,22,1011.78,1415.13,2250.37,3665.5,141686188,13087017,2014581,14957875,171745661,84217767,21968127,106185894,22495008,35329915,164010817,11461194,23646979,672768,367491,70462,1286391,33432634,8019035,49654772,394263,424338,16921960,1038306,9295927,9295927,11/91,09/93,MI,26,94,03, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
4469450,121,239,19,381.5,634.6,1554.2,2188.8,91623806,6218893,1010436,5691778,104544913,56887285,12245142,69132427,14445538,17489483,101067448,7305803,12333116,459788,158836,31031,649022,20603865,6208632,42570628,306725,292623,17141120,704120,4469450,4469450,01/93,12/93,MN,27,94,04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
4713386,148,198,46,288.66,728.88,1614.63,2349.81,81060908,1343712,1137704,6991058,90533382,40758182,8248779,49006961,16560575,15624378,81191914,8969629,18181271,445812,142547,32701,771786,20017865,4004191,38208387,71757,66340,14666789,724981,4713386,5117073,10/92,09/93,MO,29,94,04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0,, 1, 1, 0, 0, 0, 0, 1, 0
2592604,47,199,2,126,596,368,964,17220867,2899454,488125,2003079,22611525,11262919,2501020,13763939,2980887,3672847,20417673,754510,5084890,97144,60228,11429,430068,7028904,1078955,8189313,14480,33460,2455586,293331,2573216,2573216,10/92,09/93,MS,28,94,05, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
800065,83,28,4,28.08,227.65,36.87,266.22,8948173,236483,235420,1120583,10540659,4448220,826957,5275177,1233458,2370821,8879456,583097,2422018,33458,16648,5132,156122,2867784,524939,4824891,22582,40596,1709027,104717,797279,799065,07/92,06/93,MT,30,94,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 1, 1, 1, 1, 1, 0
6611870,58,287,58,465.68,667.12,1632.58,2299.7,73755189,10742054,1513261,5582035,91592539,45986933,10914718,56901651,15323776,16226915,88452342,5730774,13094417,275369,120524,30240,907062,21045535,5172380,38329381,60868,71473,14922694,1556107,6611870,6631836,07/92,06/93,NC,37,94,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1,, 1, 0, 0, 1, 1, 1, 0, 0
569680,78,12,13,16.2,99.06,135.06,212.25,4794793,518323,48626,770493,6132235,3033691,432079,3465770,1089158,1361950,5916878,335660,1900728,53257,18289,4283,120091,2796615,336671,3728789,19418,26393,1815759,509172,545425,643042,01/93,12/93,ND,38,94,04, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0,, 1, 1, 1, 1, 1, 1, 1, 0
1292047,269,15,11,91.39,283.82,351.44,635.26,22699075,346948,319982,1577329,24943334,11225460,2397830,13623290,3568524,4995712,22187526,3106941,5042169,106574,45082,14744,351749,6044869,1272939,10221168,31241,34696,4598645,343699,1291523,1578385,01/92,08/93,NE,31,94,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
